Host,Model Id,Instance,Tensor parallelism degree,quantization,generated_tokens per request,Do Sample,Number of requests,Virtual Users,Thorughput (tokens/second),Latency (ms/token) avg,Latency (ms/token) min,Latency (ms/token) med,Latency (ms/token) max,Latency (ms/token) p(90),Latency (ms/token) p(95),Latency Request ms p(90),Latency Request ms p(95),Latency Request ms avg,Latency Request ms min,Latency Request ms med,Latency Request ms max,Latency Infernece ms med,Latency Infernece ms max,Latency Infernece ms p(90),Latency Infernece ms p(95),Latency Infernece ms avg,Latency Infernece ms min,Queue time ms med,Queue time ms max,Queue time ms p(90),Queue time ms p(95),Queue time ms avg,Queue time ms min
sagemaker,meta-llama/Llama-2-7b-hf,ml.p4d.24xlarge,8,none,50,True,862,20,496.1627136046404,41.72628293967518,24.333754,38.696102,434.892861,44.5523546,45.332098300000006,2330.0624133999995,2388.66788305,2015.4678547587005,298.809841,2022.9565465,3056.377639,1927.436414,2325.814705,2214.7598703,2239.7394833999997,1909.3496335,224.344521,80.65031400000001,1107.380795,131.22871289999998,226.54705324999986,104.85983063573086,0.040278999999999995
sagemaker,TheBloke/Llama-2-70B-GPTQ,ml.p4d.24xlarge,8,gptq,50,True,84,5,46.82444359588558,118.89105496428571,68.664589,86.2460385,950.465553,185.71573,219.84437689999996,9025.867104500001,9512.742616,5339.091739297619,472.149857,4419.686662,13111.398528,4263.7581875,13110.779289,7140.824019199999,9280.0156731,4811.283858845238,427.974507,54.175562,5945.794497,1432.146563100001,1946.35610975,526.8066322380952,0.04768000000000001
sagemaker,meta-llama/Llama-2-7b-hf,ml.g5.12xlarge,4,none,50,True,380,5,225.11549027996423,24.11522961842105,16.730962,21.8502975,191.26215,26.9551848,28.1334981,1353.407313,1388.9386567500005,1110.5410813315789,191.740145,1107.3642935,1764.239984,1075.733236,1619.6652940000001,1332.0661167,1364.3490231000003,1078.699358844737,186.148079,7.5174485,721.661674,60.18315540000003,78.06361030000001,31.024271621052634,0.041110999999999
sagemaker,meta-llama/Llama-2-13b-hf,ml.p4d.24xlarge,8,none,50,True,79,1,47.67119329836331,22.032148924050635,20.848694,21.630097,28.410837,24.368402,24.7632424,1183.8568474,1224.0110563,1048.8514455063294,46.708942,1076.995908,1344.726061,1075.033983,1342.5371049999999,1183.4352032000002,1221.6239657999997,1047.7685838860757,45.705024,0.034989,0.103862,0.0681772,0.07641490000000001,0.042701987341772,0.029945
sagemaker,TheBloke/Llama-2-7B-GPTQ,ml.g5.2xlarge,1,gptq,50,True,205,5,120.09416333072869,37.703348697560976,27.179833,34.245736,234.628068,44.3280604,54.1808366,3005.8895771999996,3808.7810157999998,2081.6998350829267,147.068766,1743.98413,6332.543219,1706.940023,6331.591014,2195.82242,2673.093844999997,1810.29363337561,121.073391,38.515149,4123.954118000001,308.4296185999999,1383.4555643999947,270.3454486390244,0.02527
sagemaker,TheBloke/Llama-2-70B-GPTQ,ml.g5.48xlarge,8,gptq,50,True,22,1,13.484428356940631,123.95601154545456,53.654342,56.1448115,1141.529097,158.48833240000013,179.22835579999997,5429.613414700002,8060.002591549998,3707.9806927272725,2284.1177030000003,2794.9389335,9002.36396,2794.4076995,9001.768709,5427.462148700001,8059.583602249998,3707.1916589545453,2283.058194,0.054605499999999994,0.11526299999999999,0.08026799999999999,0.09655294999999901,0.059761045454545005,0.033690000000000005
sagemaker,TheBloke/Llama-2-13B-GPTQ,ml.g5.12xlarge,4,gptq,50,True,47,1,27.468495179320424,36.39998340425531,25.862243,28.17885,136.751145,62.151353799999995,69.13353269999996,3109.2807338,3457.1844515999983,1820.267170574468,1293.445484,1409.9843540000002,6838.17056,1408.942503,6837.5572870000005,3107.5677116,3456.676658499998,1819.3318685106383,1293.112197,0.045501,0.111192,0.072394999999999,0.078772,0.052727170212765004,0.032451
sagemaker,TheBloke/Llama-2-70B-GPTQ,ml.g5.12xlarge,4,gptq,50,True,26,1,14.748987561461242,121.90383526923077,53.61672,57.2349955,1020.5872529999999,163.75261849999998,376.27106449999997,4639.474583,7126.748658,3390.063202076923,891.585751,2779.1524725,8490.115268,2778.6659345000003,8489.413155999999,4638.2755885,7126.1213185,3389.310090961538,890.19733,0.047140499999999995,0.07058099999999999,0.062320999999999994,0.0649685,0.050349153846153,0.041409999999999
sagemaker,TheBloke/Llama-2-7B-GPTQ,ml.g5.2xlarge,1,gptq,50,True,299,10,167.5778881856736,56.0147747424749,37.630411,52.730564,462.916519,62.506295200000004,71.11783079999998,3565.7902102000003,4116.4442271,2983.6872001036795,427.663885,2761.30017,7758.388550000001,2618.633949,7757.987071,3084.4612752,3290.5967581,2663.5161316755857,277.151897,148.444237,3683.509704,850.0639032,1208.6163951,318.95190160200667,0.046851
sagemaker,meta-llama/Llama-2-70b-hf,ml.g5.48xlarge,8,none,50,True,96,20,51.601566662176026,831.06627559375,252.143602,413.15819450000004,11205.405518,501.6297585,4878.11174975,25122.9083255,27637.72956975,19379.25657464583,2457.553551,20491.023774,36103.153516,20448.840835000003,25081.728433999997,24430.483171,25081.234143499998,18233.315352427086,2332.98248,75.504653,13127.324080999999,1450.7367605,4437.56572375,1144.9791225833335,0.09836099999999999
sagemaker,meta-llama/Llama-2-7b-hf,ml.g5.2xlarge,1,none,50,True,387,10,220.05522274296806,47.38081088630491,37.033215,44.930824,363.998309,52.2996554,55.01323079999999,2642.8880862000005,2832.5330821999996,2272.156933007752,136.008882,2277.413242,3104.986438,2201.356687,3028.317353,2592.017506,2643.714398,2204.7940329224807,88.896878,24.630629,869.59049,192.39002820000002,201.85311249999998,66.24399712403101,0.065841
sagemaker,meta-llama/Llama-2-13b-hf,ml.g5.48xlarge,8,none,50,True,242,5,139.18820292268381,44.425146392561984,21.426108,35.055391,605.188296,50.560302899999996,55.79932234999997,2466.3770558,2538.78882765,1796.1292318636363,169.300645,1722.1974985,3140.815641,1682.374248,3059.37801,2434.7529498999997,2528.30119045,1738.2712712933885,114.675364,12.386136,738.939713,162.3889196000001,261.4134709,56.878499805785125,0.026171
sagemaker,meta-llama/Llama-2-13b-hf,ml.p4d.24xlarge,8,none,50,True,340,5,199.83937009047784,24.705311308823525,22.349537,24.296073,44.05325,26.501194299999998,27.6050163,1439.1912772,1513.70247325,1251.0047438941176,59.174117,1290.2939929999998,1695.943206,1211.4597285,1416.972509,1288.1344093,1344.0941249500002,1170.8405271941178,26.304645999999998,89.569834,498.182627,145.2624969,273.30847845,79.27377567058822,0.022611
sagemaker,TheBloke/Llama-2-70B-GPTQ,ml.g5.12xlarge,4,gptq,50,True,105,20,56.27288348786125,500.76549772380946,176.730343,341.661761,5699.229413,397.5393872,881.067479399999,25806.5716428,25834.7698172,17770.5484066,2298.8730309999996,17117.373370999998,25875.458015,17011.545680000003,25840.387077,19876.478014,19876.856571999997,16165.838930923808,1221.968322,34.327946,9743.657779,5929.789342600001,5943.147742,1603.3199684857148,0.07329000000000001
sagemaker,meta-llama/Llama-2-7b-hf,ml.g5.48xlarge,8,none,50,True,488,20,292.9755698810733,83.42130458401638,38.500951,69.7023005,1411.4377220000001,90.949571,94.6599886,4559.0523333,4756.03469795,3413.2538778094263,499.704591,3423.7251134999997,6601.089093,3352.7126515,5049.030257,4419.299941,4728.7143956499995,3301.4420081311473,429.07526,65.7524065,2896.423242,86.3727813,167.7810539,110.79590095286885,0.062511
sagemaker,meta-llama/Llama-2-13b-hf,ml.g5.12xlarge,4,none,50,True,79,1,47.157365672584625,23.473072797468355,19.111001,21.002715,87.86053,26.3438796,29.03390299999999,1284.1992538,1317.1864874,1060.2797524177217,105.045404,1041.7509140000002,1446.09177,1040.977464,1444.3198209999998,1281.6249966,1315.1756684999998,1059.2855928101264,104.433918,0.046001,0.081901,0.059113,0.062341,0.048582924050632005,0.036789999999999004
sagemaker,meta-llama/Llama-2-13b-hf,ml.p4d.24xlarge,8,none,50,True,595,10,366.9431091006698,26.945801401680672,22.72447,25.751999,109.039148,28.342919,30.5417124,1560.7101072,1660.2144363,1362.6090464689075,67.279527,1393.340578,1913.396829,1283.856857,1536.03368,1399.1984470000002,1421.9593519,1243.8203859327732,35.821029,117.034752,506.299459,153.5911816,350.7294118,117.8698954722689,0.029338
sagemaker,TheBloke/Llama-2-13B-GPTQ,ml.g5.12xlarge,4,gptq,50,True,173,5,98.32495188733222,50.291357947976884,27.115566,39.094398,446.808238,66.77858900000004,95.36137420000013,4070.3062924000005,6739.2580042,2542.5895990924855,106.885499,2062.126699,8387.461678,1842.308694,8386.639516000001,3050.75918,3373.04344,2024.7423265664738,100.730605,31.701107,5334.2529890000005,2074.2051188,2329.9467668,516.9214593236994,0.04259
